Nr.;Anrede;Titel;Vorname;Nachname;Geburtsdatum;Straße;Hausnummer;Postleitzahl;Stadt;Telefon;Mobil;Telefax;EMail;Newsletter;Eintragsdatum
4681;Frau;Dr.;Heidi;Wölfel;;Kurt-Schumacher-Platz;122;66871;Haschbach am Remigiusberg;06381/70199737;0175/8359759;06381/74436572;heidi.1969@funmail.none;;22.09.1970
4682;Frau;;Catharina;Bludau;;Hellenhahner Straße;62;32609;Hüllhorst;05744/34741220;;;c1986@funmail.none;;09.12.1994
4683;Frau;;Cilly;Kämmerer;;Montabaurer Straße;128;38465;Brome;05833/79199320;0157/8813278;;c_kaemmerer@funmail.none;ja;30.06.2017
4684;Herr;;Gelbert;Fehr;;Habichtweg;27;54634;Oberstedem;06561/72239444;0158/1223789;;;nein;23.04.2020
4685;Frau;;Corina;Rieß;;In der Hohl;101;71397;Leutenbach;07195/78347903;0160/8136894;;;;19.12.1969
4686;Herr;;Matis;Labyrinth;;Am Himmelfeld;8;75045;Walzbachtal;07203/45762761;0177/3816554;;matis_labyrinth@open-mail.none;;22.07.1980
4687;Frau;;Catarina;Schwarzenberger;;Kupferkaute;29;38259;Salzgitter;05341/57728567;;;catarinaschwarzenberger@inter-mail.none;ja;19.02.2026
4688;Frau;;Selma;Brewer;;Unter Scherrlinden;146;21423;Winsen;05143/96309021;0176/1554007;;s_brewer@company.none;ja;06.09.2025
4689;Herr;;Helmuth;Renner;;Kömbchesweg;91;88499;Altheim;07373/25688523;0174/6091531;;h.renner@justmail.none;;29.03.2024
4690;Herr;;Margolf;Gimpel;;Pechriede;171;67752;Wolfstein;06304/74079450;0170/7701125;;m_27@live-mail.none;ja;20.02.1959
4691;Frau;;Ellentraud;Thießen;;Julius-Leber-Straße;11;51375;Leverkusen;0214/29468436;0170/4457831;;ellentraud-1980@funmail.none;ja;26.04.2025
4692;Herr;;Burckhard;Backhaus;;Zähringerstraße;191;87538;Fischen;;0175/2766599;;burckhard-backhaus@open-mail.none;;17.12.1988
4693;Frau;;Kriemhilde;Meissner;;Wurmstraße;40;54538;Bengel;06541/4289503;;;kmeissner@funmail.none;ja;01.12.2024
4694;Frau;;Wiltrud;Bonnet;11.10.2021;Reinersstraße;84;56291;Steinbach;06764/26120282;0155/2117358;;wiltrudbonnet@web.none;ja;05.04.2025
4695;Herr;;Wilderich;Seite;;Nippesstraße;176;56459;Rotenhain;02663/22822570;0172/4258702;;w_1953@net-mail.none;;11.10.1982
4696;Frau;;Kati;Tischler;;Grevenbroicher Straße;128;27804;Berne;;0150/4459225;;k-tischler@kitty.none;ja;17.06.2008
4697;Frau;;Annica;Höft;19.02.1944;Zillertal;101;91632;Wieseth;09822/36510487;0152/3541673;;ahoeft@email.none;;24.02.1951
4698;Herr;;Wulf;Munk;;Karlstraße;199;54578;Berndorf;06593/6421562;0164/7411080;;;;08.11.1992
4699;Herr;;Giselher;Halle;;Achter Straße;138;54441;Kanzem;06501/85200113;0162/3670135;;giselher_halle@anymail.none;ja;06.03.1921
4700;Herr;;Karlmann;Schikora;;Steinergasse;10;66871;Konken;06384/34883188;0164/1952325;;;ja;13.01.2024
4701;Frau;;Sinah;Hufnagel;;Moorbekweg;62;69239;Neckarsteinach;;0173/5096362;;s.hufnagel@trashmail.none;;18.08.1949
4702;Herr;;Dietwalt;Falk;;Schachtstraße;79;89542;Herbrechtingen;;0163/5668707;;dietwalt-falk@bestmail.none;;06.12.2001
4703;Frau;;Malve;Krüll;04.10.1984;Naunheimer Straße;112;54441;Kastel-Staadt;;0153/9667786;06581/53493463;;ja;22.04.2014
4704;k.A.;;Marlit;Wallace;;Röttgersbank;84;79592;Fischingen;07628/17768330;0169/1371215;;m-wallace@open-mail.none;;14.11.2000
4705;Frau;;Marlies;Lukas;;Kalberbenden;100;74821;Mosbach;;0167/6320646;;marlieslukas@anymail.none;;30.05.2017
4706;Frau;;Ellengard;Eckert;03.07.1972;Auf der Konn;64;61273;Wehrheim;06081/29816558;;;ellengard-1972@net-mail.none;ja;03.04.1992
4707;Herr;Dr.;Waldemar;Arslan;;Breitwiesenstraße;187;54636;Ehlenz;06561/23984663;0168/4869000;;waldemar_arslan@web.none;;14.10.2025
4708;Herr;;Meik;Haffner;;Sattlerstraße;123;96279;Weidhausen;09562/92906044;0150/2605631;;meik-haffner@open-mail.none;ja;29.03.1938
4709;Herr;;Mads;Barke;;Im Bachberg;71;30179;Hannover;0511/59190120;0164/2876094;;mads_barke@xyz.none;;16.01.1968
4710;Frau;;Irmelie;Stöcklein;16.04.1942;Nurmistraße;99;66882;Hütschenhausen;06372/1463991;;;i_stoecklein@live-mail.none;;14.05.1970
4711;Frau;;Gerlinda;Wendling;;Brentanostraße;172;91233;Neunkirchen am Sand;09123/12735116;;;gerlinda-wendling@quickmail.none;;26.12.2007
4712;Frau;;Traude;Hörmann;;Kaulenweg;138;55218;Ingelheim am Rhein;06132/8092869;;;;ja;18.06.1977
4713;k.A.;;Siegulf;Carle;;Burgstraße;57;57223;Kreuztal;02732/24293306;;;scarle@private.none;ja;15.01.2019
4714;Herr;;Klaas;Wörmann;26.02.2006;Josef-Zilliken-Straße;104;78244;Gottmadingen;07731/73943795;0179/3569107;;;;05.09.2009
4715;Herr;;Marzel;Hefele;;Tutweg;146;73111;Lauterstein;07332/80926346;;07332/41098472;marzel1985@hoster.none;ja;31.12.1998
4716;Frau;;Burgel;Wiedenmann;;Am Kirchberg;55;56422;Wirges;02602/5308744;;;;;26.10.2017
4717;Frau;;Hubertine;Winterhoff;;Staffelsweg;188;73527;Schwäbisch Gmünd;07171/86634894;;07171/84434343;hubertinewinterhoff@inter-mail.none;;14.08.2017
4718;Herr;;Kjell;Reichard;;Am Vogelsang;72;75217;Birkenfeld;07231/92267502;0173/6930177;;kjell-reichard@trashmail.none;;04.12.1941
4719;Herr;;Giselher;DTAG;;Angelmodder Weg;78;56346;Sankt Goarshausen;06771/76365511;;;giselher16@hoster.none;;21.02.2018
4720;Frau;;Wilhelma;Wenning;18.11.1946;Faggenwinkel;59;57635;Ersfeld;;;;;;16.12.1982
4721;Herr;;Abraham;Sieler;;Langenfeldstraße;66;72519;Veringenstadt;07577/91539178;0159/3632684;;abraham-24@anymail.none;ja;14.11.2025
4722;Frau;;Gusti;Stierle;;Brulandstraße;178;95473;Haag;09270/77895711;0153/8382199;;g_2006@ultramail.none;;17.12.2010
4723;Frau;;Rahel;Pörtner;;Marbachstraße;70;73116;Wäschenbeuren;07172/9679850;;;;;21.05.2025
4724;Herr;;Willmar;Romano;;Fürstenweg;27;56745;Rieden;02652/91031606;0161/3409259;;w_romano@retromail.none;ja;23.11.2022
4725;k.A.;;Egbert;Gräff;;Hahnewallstraße;161;51377;Leverkusen;0214/97126598;0157/8844093;;egbertgraeff@kitty.none;;29.09.2017
4726;Frau;;Amely;Röthig;;Nassauer Straße;116;56479;Homberg;02664/43172944;0173/7770409;02664/94957102;aroethig@live-mail.none;nein;23.10.2019
4727;Frau;;Ehrentrudis;Klauck;03.05.1982;Wickers Immberg;8;36137;Großenlüder;;0168/7547745;;eklauck@web.none;;20.08.2008
4728;Frau;;Mariechen;Eisold;19.12.1992;Bochumer Straße;184;23968;Wismar;;0174/4351608;;mariechen_92@net-mail.none;nein;13.11.2017
4729;Frau;Dr.;Alwine;Mensing;;Gräfin-Hedwig-Straße;72;77833;Ottersweier;07223/81075014;0150/3955233;;a11@spam-mail.none;;17.03.1928
4730;Herr;;Florian;Schweigert;;Im Teich;114;57632;Walterschen;02685/53755089;;;florianschweigert@justmail.none;;18.12.2022
4731;Herr;;Stanislaus;Glass;;Mühlenstiege;27;31061;Alfeld;05181/18447001;;;stanislaus_glass@trashmail.none;;09.04.1952
4732;Frau;;Liebgunde;Roemer;05.04.1967;Heidestraße;140;54295;Trier;0651/11851946;0161/8158834;;l-roemer@anymail.none;;19.02.1986
4733;Herr;;Lienhardt;Heinzelmann;;Gelsdorfer Straße;85;73345;Hohenstadt;07335/51578257;0162/8437734;;;;01.05.1977
4734;Herr;;Annik;Grupp;;Mittelfeldstraße;58;66894;Rosenkopf;06332/50918174;0165/8621183;;;ja;15.04.2011
4735;Herr;;Holk;Kessel;;Horstmarer Landweg;59;54457;Wincheringen;06583/61855769;0156/6206451;;holk_kessel@inter-mail.none;ja;14.09.2014
4736;Herr;;Erno;Klumpp;;Oligstraße;55;73095;Albershausen;07161/95105685;;;erno-klumpp@goggle-mail.none;;29.10.1991
4737;Frau;;Swanhild;Busche;09.04.2011;Geilrather Weg;133;64579;Schöfferstadt Gernsheim;06258/47541238;0175/4975014;;swanhild.11@inter-mail.none;;02.12.2025
4738;Frau;;Clarissa;Trost;06.03.1963;Hammerstraße;159;96123;Pödeldorf;09505/15065595;0171/7043079;;clarissa.trost@xyz.none;;31.08.1964
4739;Herr;;Wendelinus;Fach;;Am Graben;167;56814;Greimersburg;02671/5727806;0157/3324694;02671/97341202;wfach@live-mail.none;;27.10.1965
4740;Herr;;Sigward;Karrasch;;Weitefelder Straße;16;66894;Langwieden;06372/16479847;0166/1266198;;s_karrasch@live-mail.none;;25.01.2014
4741;Herr;;Kord;Braig;;Zülpicher Straße;1;56767;Oberelz;02692/26146497;;;k-braig@live-mail.none;ja;21.03.1994
4742;Frau;;Manuela;Scholten;;Sofienstraße;150;55234;Bermersheim vor der Höhe;;0160/2432169;;manuelascholten@net-mail.none;;10.01.2022
4743;Frau;;Erica;Stenz;;Hasenkampstraße;11;54655;Kyllburgweiler;06563/47745161;0165/7218835;;erica-stenz@quickmail.none;ja;31.05.2022
4744;Herr;;Helwin;Howell;;Heilmannstraße;16;22926;Ahrensburg;04102/33571839;;;helwin-howell@justmail.none;;25.01.1993
4745;k.A.;Dr.;Trautlind;Milke;;Schillingstraße;126;69257;Wiesenbach;06223/51005139;0168/9819236;;t_milke@mymail.none;;16.06.1987
4746;Herr;;Marko;Schnack;;Rottstraße;181;24790;Ostenfeld;04331/35761317;0166/9755450;;marko.schnack@kitty.none;;03.12.2025
4747;Frau;;Roslinde;Eckhoff;;Bahnweg;83;54518;Kesten;06531/22137070;0168/4432513;06531/17859029;r-eckhoff@live-mail.none;nein;18.11.2020
4748;Herr;;Rotger;Schoolmann;;Rotzler Straße;91;55595;Argenschwang;0671/93038511;0167/1948841;;;;24.04.1982
4749;Herr;;Arist;Hilt;;Ziegeleiweg;44;52351;Düren;02421/61385658;0170/7441509;;;;19.08.1991
4750;Frau;;Gundhild;Ilse;;Rennpfad;138;76889;Vorderweidenthal;06398/17238515;0171/1500919;;;;12.03.1991
4751;Herr;;Karlgünter;Bilger;;Krottorfer Straße;159;34596;Bad Zwesten;05626/41579184;;05626/43566286;karlguenter_1951@email.none;;11.01.1987
4752;Frau;;Carlotta;Andresen;;Auf der Winneburg;163;65199;Wiesbaden;0611/67183070;0174/8445062;0611/78302190;;ja;15.07.2025
4753;k.A.;;Bert;Ebel;;Karl-Schloemer-Straße;197;24235;Stein;04344/14966088;0150/5993513;;bert.38@web.none;;08.07.1965
4754;Herr;;Heribert;Jäkel;;Petersbergstraße;19;25560;Oldenborstel;04892/31130177;0171/8261924;;heribert_1929@retromail.none;;24.12.1968
4755;Frau;;Roselies;Lamp;;Mehrener Straße;114 b;66909;Henschtal;;0155/5620500;;roselies.1921@open-mail.none;;01.10.1973
4756;Herr;;Heidebert;Seiter;;Fischbacher Straße;97;33829;Borgholzhausen;05425/510804;0164/3210204;05425/78540446;heidebert-seiter@justmail.none;;25.03.1973
4757;Herr;Dr.;Rigobert;Hupp;14.08.1994;Karolinger Straße;111;66894;Gerhardsbrunn;06372/8495533;0156/2072110;;r-94@email.none;;24.07.2021
4758;Herr;;Hansotto;Kaupp;;Heinrich-Heine-Platz;135;87672;Roßhaupten;08367/8184981;0164/7463333;;h_kaupp@validmail.none;nein;26.12.2017
4759;Herr;;Eberhard;Erber;12.07.1957;Breckerfelder Straße;47;24994;Jardelund;04639/3743477;0170/1870348;;eberharderber@justmail.none;;13.05.1963
4760;Herr;;Timo;Kienzle;;Lindener Straße;68;35279;Neustadt;06692/39423559;0150/4978368;;;;18.08.1953
4761;Frau;;Daphne;Himmler;;Maria-Lind;189;67808;Mörsfeld;06352/98117431;;;d_himmler@inter-mail.none;ja;26.01.1989
4762;Herr;;Iven;Bahnsen;;Birrenbachshöhe;69;29416;Püggen;03901/1502647;0150/3532625;;i.bahnsen@net-mail.none;;15.12.1995
4763;Herr;;Alrik;Johannes;23.08.1944;Walter-Liebig-Straße;86;55411;Bingen am Rhein;06721/52296822;0179/8945858;;a-johannes@kitty.none;;25.09.1964
4764;Herr;;Wolf;Rickert;21.06.1960;Zur Mühle;149;68723;Oftersheim;06202/56949394;0154/6901628;;w_rickert@domain.none;ja;18.11.2007
4765;Frau;;Gundemarie;Heße;23.04.2003;Milchstraße;119;45279;Essen;0201/66723262;;0201/47585639;ghesse@bestmail.none;;04.01.2016
4766;Frau;;Lidwina;Kranz;;Pastoratsweg;20;23847;Pölitz;04531/33985946;0157/1193468;;lidwina.kranz@goggle-mail.none;;20.09.1939
4767;Herr;;Willrich;Kugelmann;;Taubenweg;193;31079;Almstedt;05065/84555640;0164/2092548;;willrich-kugelmann@quickmail.none;;04.04.1935
4768;k.A.;;Alissa;Eul;;Ginnerbach;44;97753;Karlstadt;09353/46589935;0153/9590872;;alissaeul@bestmail.none;;16.02.1953
4769;k.A.;;Kathrinchen;Petz;;Am Walde;51;88422;Betzenweiler;07374/33077973;0150/8974950;;kathrinchenpetz@private.none;nein;01.12.2018
4770;Herr;;Harald;Moos;;Niersstraße;196;79694;Utzenfeld;07673/62513207;0154/9903479;;h-moos@live-mail.none;;23.06.2007
4771;Frau;;Elsemarie;Horton;;Schraberg;195;46282;Dorsten;02362/98847686;0154/4812939;;elsemariehorton@kitty.none;;01.02.2026
4772;k.A.;;Constantin;Filipovic;25.01.1968;Bohrgasse;115;25774;Groven;04882/43945361;0166/9675494;04882/4369028;constantin-filipovic@company.none;;14.02.1991
4773;Frau;Prof. Dr. Dr.;Sibylla;Hankel;;An der Kehl;111;38444;Wolfsburg;05361/61080477;0155/9740624;;sibylla.hankel@ultramail.none;;17.09.1983
4774;Herr;Dr.;Markus;Kempen;;Lagemannstraße;48;55444;Seibersbach;06724/29435379;0169/5520250;;m_33@company.none;;30.08.1997
4775;Herr;;Pierre;Asmus;;Brückenkopf;45;49843;Halle;05942/51775926;0150/8153526;05942/3358304;p-56@web.none;;02.01.2015
4776;Frau;;Lea;Kinzel;09.08.1939;Schmalackerstraße;176;56459;Guckheim;02663/25869349;0173/1386221;;lea.1939@anymail.none;;05.09.2010
4777;Herr;;Gernot;Yücel;;Maximilian-Kolbe-Straße;30;26757;Borkum;04922/31134215;;;gernot-yuecel@live-mail.none;;07.03.1989
4778;Herr;;Erhart;Messmer;;Beselerstraße;155;55624;Bollenbach;06544/86891235;0179/7455848;;;;19.12.2012
4779;Frau;;Marietheres;Nießen;;Hanauer Straße;186;89607;Emerkingen;07393/24189721;0173/3086121;;marietheres_niessen@justmail.none;;15.07.1984
4780;Herr;;Hanskarl;Böttner;23.08.1932;Mühlenauel;82;59423;Unna;02303/21784878;0175/6282493;;hboettner@private.none;;11.09.1971
4781;Frau;;Dorchen;Bruck;;Kastorstraße;19;98693;Unterpörlitz;03677/5001356;0174/6106497;;dorchen.bruck@net-mail.none;;03.08.2009
4782;Frau;Dr.;Anja;Sobottka;02.07.1938;Zu den Eichen;140;50259;Pulheim;;;;anja.sobottka@kitty.none;;02.01.1972
4783;Herr;;Sigfrid;Bennett;;Morthorststraße;190;26897;Hilkenbrook;;0163/7544207;;;;20.09.1963
4784;Frau;;Gabriela;Hirmer;21.08.1919;Gertrudstraße;191;54636;Weidingen;;0153/9178300;;;;14.07.1997
4785;Herr;;Cordt;Lenke;;Paulinenstraße;82;64354;Reinheim;06162/14181642;;;clenke@ultramail.none;;16.10.2007
4786;k.A.;;Irmentraud;Kohls;;Obere Trift;54;74252;Massenbachhausen;07138/88364223;0175/1659254;;irmentraud.kohls@mymail.none;ja;26.03.1992
4787;Herr;;Sighart;Döscher;;Distelkamp;5;42719;Solingen;;0177/6137888;;sighart_doescher@web.none;;11.12.2016
4788;Herr;;Mark;Ebner;;Am Roseneck;194;84428;Buchbach;08086/67722932;0156/4223118;;markebner@hoster.none;;12.11.1944
4789;k.A.;;David;Sigmund;20.07.1971;Windmühlenberg;149;38373;Süpplingen;;0168/6585278;;david1971@open-mail.none;ja;30.01.1996
4790;Herr;;Ottomar;Meuer;;Am Sonnenhof;28;89079;Ulm;;0178/8045874;;ottomar_meuer@trashmail.none;;20.08.2002
4791;Frau;;Wendeline;Brachmann;05.05.1904;Fritz-Henkel-Straße;110;92245;Kümmersbruck;09621/16169693;;;wendeline-brachmann@justmail.none;;11.03.1938
4792;Herr;;Volkart;Donaubauer;27.03.1916;Emil-Mayrisch-Straße;184;55596;Waldböckelheim;06758/14243796;;;volkartdonaubauer@spam-mail.none;;19.05.1981
4793;Frau;;Erltrud;Hirtreiter;;Alfred-Nobel-Straße;49;13505;Tegel;030/56448099;;;e_2010@net-mail.none;;31.08.2015
4794;Frau;;Mona;Kusterer;01.11.1991;Maiweiderstraße;145;37130;Gleichen;0551/74760171;;;mona-1991@xyz.none;;23.02.2009
4795;k.A.;;Anouk;Möhrle;;Deppengau;99;63840;Hausen;06022/61165018;0155/9302735;;a_35@hoster.none;;21.08.1943
4796;Herr;;Henry;Rossmann;;Peterstraße;53;78594;Gunningen;07424/94347873;0167/1614788;;henryrossmann@domain.none;ja;28.04.2013
4797;Herr;;Ludger;Hehl;;Nettesheimstraße;111;99428;Nohra;03643/3943997;0151/5461966;;l1902@xyz.none;;26.04.1904
4798;Frau;;Herta;Peters;;Hagelkreuzstraße;96;06774;Mühlbeck;;0160/7401268;03493/35692476;herta.peters@hoster.none;;03.05.2011
4799;Frau;;Edeltraut;Glinka;;Lohrbergstraße;66;86519;Wiesenbach;;0158/1700791;08282/64416774;edeltraut2009@quickmail.none;;24.06.2012
4800;Frau;;Ortrun;Ebersbach;;Batzensteg;115;56379;Winden;02604/64562814;0158/6159624;;;;03.06.2010
4801;Frau;;Clotilde;Zahner;;Henri-Dunant-Straße;49;13351;Wedding;030/66797885;0174/8864664;;clotilde-70@spam-mail.none;;10.08.2023
4802;Herr;;Alphonsus;Pittman;;Tannenwäldchen;29;73776;Altbach;07153/57628908;0158/7852103;;alphonsus.pittman@goggle-mail.none;;07.09.1988
4803;Herr;;Hansjakob;Ellinghaus;;Eckardtstraße;6;82291;Mammendorf;08145/36932245;;08145/64232097;hansjakob.ellinghaus@anymail.none;;11.05.1966
4804;Herr;;Niklaus;Enge;;Eichstraße;158;84085;Langquaid;09452/92477760;;09452/86512059;n.enge@quickmail.none;;15.12.2011
4805;Herr;;Rico;Staib;31.08.1948;Peter-Schemmer-Straße;150;54574;Birresborn;06594/30511735;0166/5571170;;r1948@net-mail.none;nein;26.01.2018
4806;Frau;;Filippina;Sündermann;08.06.1989;Im Weidenbruch;111;66484;Battweiler;06332/16677759;0171/3645332;;f-suendermann@inter-mail.none;ja;20.08.2004
4807;Herr;;Hartwald;Doppelpunkt;05.04.2009;Johannastraße;173;95688;Friedenfels;09683/80772933;0166/2010687;;hartwald-09@xyz.none;;11.09.2024
4808;Herr;;Meinrad;Lewandowski;;Auf der Bitz;57;66996;Schindhard;06391/48263874;0174/8000770;;meinrad_lewandowski@ultramail.none;;21.06.2024
4809;Herr;;Weikhard;Nitsch;;Maximilian-Kolbe-Straße;180;63691;Ranstadt;;0171/3749247;;w.nitsch@private.none;;22.07.2020
4810;Frau;;Mia;Zwiener;;Erftweg;200;66780;Rehlingen-Siersburg;;;;;;31.01.2013
4811;Herr;;Meinhart;Reiher;;Brückenstraße;37;65843;Sulzbach;06196/93511977;0150/9703869;;;ja;30.12.2012
4812;k.A.;;Erkmar;Merkl;;Im Reuschewäldchen;125;42399;Wuppertal;0202/84427957;;;erkmar2007@net-mail.none;ja;19.06.2009
4813;Frau;;Yvonne;Keiser;31.05.1930;Gescherweg;156;91227;Leinburg;09120/41862230;0161/5760393;;yvonne1930@open-mail.none;;19.08.2009
4814;Herr;;Ludwig;Hage;;Weiherwiesen;38;73457;Essingen;07365/24769531;;;ludwig-hage@mymail.none;;29.05.2013
4815;Herr;;Gerald;Schicht;07.03.1968;Scheideweg;131;69239;Neckarsteinach;06229/81831941;0162/3476890;06229/53434256;gerald.schicht@kitty.none;;16.07.2008
4816;Herr;;Edelwald;Leonhardt;10.11.1947;Neuenhof;172;25881;Tümlauer Koog;04862/47374915;0171/6231314;;;;10.10.1980
4817;k.A.;;Willi;Falkner;;Welliner Straße;183b;54310;Minden;06525/5037960;0177/1201971;;willifalkner@ultramail.none;;04.11.2008
4818;Herr;;Markus;Betzler;;Erlenweg;155;70174;Stuttgart;0711/92090140;;;markus_betzler@xyz.none;nein;13.09.1967
4819;Frau;;Anika;Cetinkaya;;Kreisstraße;157;24351;Thumby;04352/2077649;0179/4869550;;anika_cetinkaya@spam-mail.none;;10.10.2015
4820;Frau;;Karena;Franzmann;;Deutschherrenstraße;122;52066;Aachen;;;;k1958@quickmail.none;;13.01.1998
4821;Frau;;Ortraud;Linne;;Im Scheidter Garten;132;34393;Grebenstein;05674/99283152;0159/6550881;;ortraud.linne@private.none;ja;16.02.2024
4822;Frau;;Krimhild;Göttel;;Zum Limes;195;25582;Hohenaspe;;0172/2523198;;k_goettel@live-mail.none;;11.03.2012
4823;Herr;;Elias;Blömer;;Siebenstücken;53;54552;Katzwinkel;02692/12681949;0170/9353107;;elias_1959@hoster.none;ja;31.10.1971
4824;Frau;;Nelli;Pommerening;;Dorfstr;77;14089;Kladow;;0172/7697302;;n_pommerening@mymail.none;;13.01.2025
4825;Frau;;Liebgard;Antoni;04.01.1945;In Venrath;98;25862;Goldelund;04671/48295745;0171/1355836;;liebgard_antoni@private.none;;10.06.1993
4826;Frau;;Emilia;Kluger;12.10.1995;Türnicher Straße;131;54316;Pluwig;06588/57561137;0155/6783991;06588/3715039;e_kluger@live-mail.none;;07.12.1999
4827;Frau;;Doreen;Laske;;Flachsbruch;9;66919;Hettenhausen;06375/82778535;;;;;17.08.1998
4828;Frau;;Hilde;Sonnenberg;;Moselblick;17;25719;Busenwurth;04832/89786239;0150/6975653;04832/31990348;hilde-1989@kitty.none;;21.07.1990
4829;Herr;;Harribert;Heyl;30.10.2018;Uhlenhorst;143;32549;Bad Oeynhausen;05731/60042844;;;;;09.11.2020
4830;Herr;;Florentius;Schöneberg;;Devensstraße;33;63825;Blankenbach;06024/78526934;0160/7604895;;f_96@hoster.none;;22.08.2019
4831;Frau;;Elrike;Look;02.04.1914;Brementhaler Straße;5;57537;Hövels;;0177/5873931;;elrike14@spam-mail.none;nein;01.02.1980
4832;Frau;;Erlgard;Timmer;;Altrheinstraße;57;97980;Niederstetten;;;;erlgard_timmer@private.none;;29.06.2024
4833;Herr;Dr.;Dierk;Weide;;In der Kauth;27;56276;Stebach;02689/81655635;0176/6927938;;d_weide@validmail.none;;03.02.2025
4834;Frau;;Gerheide;Heldmann;02.09.1983;Schmeddingstraße;95;56746;Hohenleimbach;02655/4722833;0153/6619167;;;;06.12.1993
4835;k.A.;;Luzia;Draxler;;Eibenweg;70;89250;Senden;07307/12731297;0168/7784102;;;ja;01.12.2019
4836;Herr;;Friedebert;Weyrich;02.02.1939;Steinmetzstraße;108;57629;Limbach;02662/12058354;0158/1268162;;fweyrich@retromail.none;;25.06.1994
4837;Herr;;Randolph;Pratt;20.01.2009;Schmaler Weg;22;41541;Dormagen;02133/51875033;0164/3594210;;randolph_pratt@kitty.none;ja;30.06.2023
4838;Frau;Prof. Dr. Dr.;Diethild;Gleim;06.03.2015;Veilchenhang;101;25554;Bekdorf;;0179/8725162;;diethild.gleim@live-mail.none;ja;14.11.2019
4839;Herr;;Emmeran;Gutt;;Feldhauser Straße;48a;21714;Hammah;04144/35652538;0172/9919757;;emmerangutt@trashmail.none;;20.02.2022
4840;Frau;;Hedwig;Häußer;;Im Heidchesgarten;189;83607;Holzkirchen;08024/46618841;;08024/57323306;h.21@mymail.none;nein;02.08.2013
4841;Frau;;Erltrud;Hirschberger;;Schmittmannstraße;121;55469;Budenbach;06761/44907034;0157/7143377;;e.1943@web.none;;12.08.1998
4842;Frau;;Adolfa;Brock;;Erftweg;141;56584;Meinborn;02639/68925418;0154/5519981;;adolfa_brock@open-mail.none;;08.01.2017
4843;Frau;;Peggy;Groot;;Gaswerkstraße;92;38707;Schulenberg;05323/95854519;;;peggy_13@open-mail.none;;13.06.2024
4844;Herr;;Tassilo;Bachl;14.07.1921;Johannes-Grüter-Straße;67;24244;Felm;04346/14232120;0170/6397673;04346/85338902;;;10.12.1971
4845;Frau;;Lynn;Potthast;18.02.1919;Büdericher Straße;40;79350;Sexau;07641/63671714;0151/4734057;;l.1919@retromail.none;;16.10.1999
4846;Frau;;Hilderose;Hirt;;Hahner Straße;61;54472;Kommen;06536/28712188;0175/3015722;;hilderosehirt@validmail.none;;11.10.1970
4847;Herr;;Leonard;Ceylan;03.04.1970;Klever Straße;73;56291;Pfalzfeld;06747/5692145;0154/5800603;;lceylan@inter-mail.none;ja;29.08.1989
4848;Herr;;Arnulf;Schönfeldt;;In der Wesser;14;25899;Dagebüll;04667/88857653;0179/9731680;;arnulf-schoenfeldt@domain.none;ja;30.05.2004
4849;Frau;;Gislind;McCoy;12.11.2020;Uedemer Straße;47 b;95346;Stadtsteinach;09225/52393155;0153/4625270;;;nein;25.08.2023
4850;Herr;;Sigurd;Weisenburger;;Distelweg;101;92355;Velburg;09182/53186571;0166/8947360;;sigurdweisenburger@open-mail.none;nein;01.04.1911
4851;Frau;;Franka;Röttgen;13.09.1952;Hochsteinring;134;65396;Walluf;06123/11197225;;06123/53564616;;ja;08.10.2006
4852;Frau;;Rosegret;Lass;;Bessunger Straße;24;55494;Benzweiler;06764/45848026;0176/7533620;;r.lass@hoster.none;;05.08.2017
4853;Frau;;Leandra;Gaus;12.05.1988;Am Kapellenberg;105;57482;Wenden;02762/74608023;;;l_gaus@hoster.none;ja;04.06.2022
4854;Frau;;Jolantha;Rüb;;Antoniusweg;17;55481;Ober Kostenz;06763/35485041;0172/8999082;;jolantha-76@goggle-mail.none;;01.06.1991
4855;Frau;;Dora;Gottwald;;Kervenheimer Straße;23;24245;Barmissen;04302/88237342;0155/9575721;;dora-73@net-mail.none;ja;28.07.1974
4856;Frau;;Marlinde;Huster;29.04.1961;An der Netphe;97;94146;Hinterschmiding;08551/4839491;0171/3923935;;m.61@private.none;;13.02.1972
4857;Frau;;Birghild;Schübel;;Im Grünen Grund;181;39606;Erxleben;;0179/6201254;;birghild-schuebel@web.none;;24.01.1990
4858;Herr;;Bodmar;Güngör;;Kesselinger Straße;69b;16248;Niederfinow;;0178/5827165;;bodmar1945@private.none;;20.09.2020
4859;Herr;;Ilrich;James;27.11.1940;Bergmannstraße;83;88281;Schlier;07529/44306177;0161/2000809;07529/23705455;ilrich.james@kitty.none;;27.06.2009
4860;Frau;;Madita;Mühlbach;;Bonifatiusstraße;160;19071;Brüsewitz;08567/46990072;;;madita_muehlbach@ultramail.none;;18.02.1945
4861;Frau;;Anastasia;Eckermann;;Köpenicker Straße;183;80799;München;089/85479957;0168/3324312;089/26352398;aeckermann@web.none;;15.11.2022
4862;Frau;;Ortrun;Doyle;;Theys-Külwer-Straße;90;57539;Roth;;;;ortrun-doyle@anymail.none;;12.10.1986
4863;Herr;;Karlheinz;Domke;;Muscheider Straße;3;56479;Salzburg;02664/26616400;0170/4930341;;karlheinz.domke@anymail.none;ja;23.01.1971
